game_minute,hit_diff,shot_diff,goal_diff,win,game,win_prob,Game Description
22,-9,1,1,1,2021020972,0.7315745718564651,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
23,-9,3,1,1,2021020972,0.739005373577216,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
24,-9,5,1,1,2021020972,0.7463296158857273,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
25,-10,4,1,1,2021020972,0.7536174942799067,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
26,-10,6,1,1,2021020972,0.7607208381492253,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
27,-10,8,1,1,2021020972,0.7677087172887382,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
28,-9,8,1,1,2021020972,0.773602217711856,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
29,-9,9,1,1,2021020972,0.7801561171947876,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
30,-9,10,2,1,2021020972,0.9140446017523376,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
31,-9,8,2,1,2021020972,0.9193771394660764,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
32,-9,9,2,1,2021020972,0.924641968926844,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
33,-8,11,2,1,2021020972,0.9294011360337444,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
34,-8,13,2,1,2021020972,0.9341387396505816,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
35,-8,12,2,1,2021020972,0.9383652623692164,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
36,-8,13,1,1,2021020972,0.8212466723292066,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
37,-10,12,1,1,2021020972,0.8277243525102222,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
38,-10,11,1,1,2021020972,0.8327451416535515,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
39,-10,11,1,1,2021020972,0.8378330056334067,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
40,-11,9,1,1,2021020972,0.8430734593572369,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
41,-12,9,0,1,2021020972,0.5684112403781669,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
42,-12,9,0,1,2021020972,0.5688630953855656,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
43,-12,8,0,1,2021020972,0.5689276016480734,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
44,-14,7,0,1,2021020972,0.571690557145605,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
45,-15,10,0,1,2021020972,0.5747844341787015,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
46,-14,13,0,1,2021020972,0.5751583519779152,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
47,-14,12,0,1,2021020972,0.5752841771571232,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
48,-14,10,0,1,2021020972,0.574961327273724,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
49,-12,10,0,1,2021020972,0.5724633031574518,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
50,-12,11,0,1,2021020972,0.573372309400347,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
51,-12,14,0,1,2021020972,0.5752142947012637,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
52,-13,15,0,1,2021020972,0.5777743669525085,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
53,-15,17,0,1,2021020972,0.582507961461816,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
54,-15,17,0,1,2021020972,0.5831191783109535,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
55,-14,19,0,1,2021020972,0.583028055150151,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
56,-14,21,0,1,2021020972,0.5846254437288076,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
57,-14,23,0,1,2021020972,0.5862566869940223,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
58,-14,23,0,1,2021020972,0.5868891890415336,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
59,-14,24,0,1,2021020972,0.588046381020996,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
60,-14,23,0,1,2021020972,0.5881533313350666,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
61,-14,20,0,1,2021020972,0.5871568729948987,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
62,-14,20,0,1,2021020972,0.5877622726130288,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
63,-13,23,0,1,2021020972,0.5881263446638544,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
64,-13,24,0,1,2021020972,0.5892964491566706,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
65,-13,24,0,1,2021020972,0.589905965012085,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
66,-13,24,0,1,2021020972,0.5905152048570217,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
67,-13,24,0,1,2021020972,0.5911241669473802,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
68,-13,24,0,1,2021020972,0.5917328495424123,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
69,-13,24,0,1,2021020972,0.592341250904739,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
70,-13,24,0,1,2021020972,0.5929493693003708,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
71,-13,24,0,1,2021020972,0.5935572029987248,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
72,-13,24,0,1,2021020972,0.5941647502726445,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
73,-13,24,0,1,2021020972,0.5947720093984162,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
74,-13,24,0,1,2021020972,0.5953789786557894,2022-03-18 - Pittsburgh Penguins beat St. Louis Blues
